"Url"	"Sisu"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G02B49A8359705A12C2257F7F0026617F?OpenDocument"	"1. Esitada Tartu Linnavolikogule otsuse ""J. Kuperjanovi tn 8 krundi detailplaneeringu vastuvõtmine ja avalikule väljapanekule suunamine"" eelnõu.2. Ettekandjaks Tartu Linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G06EEC004F14C3C7AC2257F7100279E48?OpenDocument"	"1. Esitada Tartu Linnavolikogule otsuse ""Rebase tn 23a krundi ning lähiala detailplaneeringu kehtestamine"" eelnõu.2. Ettekandjaks Tartu Linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G7B24B5333258B714C2257F84001F2AFE?OpenDocument"	"1. Esitada Tartu Linnavolikogule otsuse ""Päeva 1, Tähe 8, Tähe 10 ja Pargi 15 kruntide detailplaneeringu kehtestamine"" eelnõu.2. Ettekandjaks Tartu Linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G95B0BF3F6F3052BEC2257F80002F6B9C?OpenDocument"	"Esitada Tartu Linnavolikogule otsuse ""Riia tn 1 krundi detailplaneeringu kehtestamine"" eelnõu.2. Ettekandjaks linnavolikogus määrata  abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GE4FD1FFDD37306E2C2257F7F003B7DB5?OpenDocument"	"1. Esitada Tartu Linnavolikogule otsuse ""Kastani tn 43 krundi detailplaneeringu kehtestamine"" eelnõu.2. Ettekandjaks Tartu Linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G061A5DCA35643DB7C2257F610043D18B?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogule otsuse “Loa andmine Tartu linna liikluskorraldusvahendite hooldustööde teostamiseks riigihanke korraldamiseks“ eelnõu;2. ettekandjaks linnavolikogus määrata abilinnapea Valvo Semilarski."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G03AB921A4526AE77C2257F5B00299037?OpenDocument"	"1. Esitada Tartu Linnavolikogule otsuse ""Detailplaneeringute koostamise lõpetamine ja Tartu Linnavolikogu otsuste kehtetuks tunnistamine"" eelnõu.2. Ettekandjaks linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G3FEA26FBCCFFD38BC2257F5D00436405?OpenDocument"	"1. Esitada Tartu Linnavolikogule otsuse ""Vanemuise tn 21 krundi detailplaneeringu vastuvõtmine ja avalikule väljapanekule suunamine"" eelnõu.2. Ettekandjaks Tartu Linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GE24F2D5AF86CD5F3C2257F5E002B9565?OpenDocument"	"1. Esitada Tartu Linnavolikogule otsuse ""Kroonuaia tn 38 // 40 krundi detailplaneeringu vastuvõtmine ja avalikule väljapanekule suunamine"" eelnõu.2. Ettekandjaks Tartu Linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257F0300452294?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Ülejõe linnaosas tänavale nime määramine"" eelnõu."
